1883,12,24,9,20,40,48N50,2E20
1883,5,30,2,50,40,48N50,2E20
1925,7,30,12,0,0,48N50,2E20
1883,12,31,18,50,40,48N50,2E20
1928,8,30,22,45,0,48N50,2E20
1884,4,13,1,50,40,48N50,2E20
1924,7,15,7,50,0,48N50,2E20
1884,5,20,4,50,40,48N50,2E20
1924,2,12,9,0,0,48N50,2E20
1884,6,12,0,5,40,48N50,2E20
1924,12,1,21,30,0,48N50,2E20
1884,6,14,0,5,40,48N50,2E20
1925,2,20,1,30,0,48N50,2E20
1884,6,14,3,50,40,48N50,2E20
1926,10,20,5,55,0,48N50,2E20
1884,7,14,11,20,40,48N50,2E20
1926,2,19,11,0,0,48N50,2E20
1884,9,8,3,50,40,48N50,2E20
1927,7,10,9,5,0,48N50,2E20
1930,6,10,0,0,0,48N50,2E20
1884,9,19,22,50,40,48N50,2E20
1923,11,24,10,0,0,48N50,2E20
1884,9,30,1,50,40,48N50,2E20
1924,5,1,9,0,0,48N50,2E20
1884,10,4,20,20,40,48N50,2E20
1926,12,4,6,0,0,48N50,2E20
1884,10,10,9,50,40,48N50,2E20
1923,9,17,19,0,0,48N50,2E20
1884,10,16,12,50,40,48N50,2E20
1926,9,1,12,0,0,48N50,2E20
1924,3,5,4,0,0,48N50,2E20
1884,10,31,8,50,40,48N50,2E20
1925,1,24,0,5,0,48N50,2E20
1926,9,25,1,30,0,48N50,2E20
1927,12,21,9,30,0,48N50,2E20
1929,12,23,7,20,0,48N50,2E20
1884,11,2,20,50,40,48N50,2E20
1923,2,5,16,20,0,48N50,2E20
1884,11,15,0,50,40,48N50,2E20
1924,4,26,23,30,0,48N50,2E20
1884,11,22,5,50,40,48N50,2E20
1924,6,17,20,0,0,48N50,2E20
1884,12,23,6,50,40,48N50,2E20
1927,10,31,3,30,0,48N50,2E20
1885,1,7,19,50,40,48N50,2E20
1924,10,2,20,0,0,48N50,2E20
1885,1,12,8,50,40,48N50,2E20
1927,7,20,4,0,0,48N50,2E20
1885,2,17,1,50,40,48N50,2E20
1923,8,1,17,0,0,48N50,2E20
1885,2,21,6,20,40,48N50,2E20
1925,7,14,15,0,0,48N50,2E20
1885,3,5,0,20,40,48N50,2E20
1927,8,5,3,45,0,48N50,2E20
1885,4,18,22,20,40,48N50,2E20
1924,1,31,17,0,0,48N50,2E20
1885,5,13,0,50,40,48N50,2E20
1927,10,4,17,0,0,48N50,2E20
1885,6,4,0,50,40,48N50,2E20
1926,2,16,2,30,0,48N50,2E20
1927,7,6,1,45,0,48N50,2E20
1929,1,30,15,0,0,48N50,2E20
1885,6,14,13,50,40,48N50,2E20
1923,9,9,5,30,0,48N50,2E20
1929,2,3,16,0,0,48N50,2E20
1885,6,21,7,20,40,48N50,2E20
1924,6,11,4,0,0,48N50,2E20
1885,7,7,6,50,40,48N50,2E20
1923,2,13,2,30,0,48N50,2E20
1924,4,21,4,20,0,48N50,2E20
1885,7,21,4,50,40,48N50,2E20
1928,1,10,18,0,0,48N50,2E20
1885,7,22,15,20,40,48N50,2E20
1923,10,26,9,0,0,48N50,2E20
1926,4,27,7,30,0,48N50,2E20
1885,8,2,18,50,40,48N50,2E20
1923,9,18,2,0,0,48N50,2E20
1885,8,27,3,50,40,48N50,2E20
1926,3,2,7,0,0,48N50,2E20
1885,9,13,17,50,40,48N50,2E20
1924,1,21,8,45,0,48N50,2E20
1885,10,4,9,50,40,48N50,2E20
1925,3,8,0,20,0,48N50,2E20
1885,10,4,21,50,40,48N50,2E20
1925,4,26,22,45,0,48N50,2E20
1885,10,5,16,50,40,48N50,2E20
1927,6,5,11,5,0,48N50,2E20
1885,10,7,8,50,40,48N50,2E20
1926,7,24,4,10,0,48N50,2E20
1885,10,10,5,50,40,48N50,2E20
1926,2,17,6,0,0,48N50,2E20
1885,10,15,0,50,40,48N50,2E20
1923,2,24,2,0,0,48N50,2E20
1885,11,28,22,50,40,48N50,2E20
1929,9,14,5,45,0,48N50,2E20
1885,12,8,8,5,40,48N50,2E20
1930,5,25,3,15,0,48N50,2E20
1885,12,15,10,50,40,48N50,2E20
1888,11,30,11,50,40,48N50,2E20
1923,4,14,2,30,0,48N50,2E20
1885,12,18,3,20,40,48N50,2E20
1923,10,28,23,30,0,48N50,2E20
1885,12,28,17,50,40,48N50,2E20
1924,4,9,7,0,0,48N50,2E20
1886,1,1,10,50,40,48N50,2E20
1924,6,27,21,30,0,48N50,2E20
1886,2,1,14,50,40,48N50,2E20
1925,9,25,10,0,0,48N50,2E20
1886,2,21,2,50,40,48N50,2E20
1929,7,13,18,0,0,48N50,2E20
1930,9,18,13,0,0,48N50,2E20
1886,2,21,21,50,40,48N50,2E20
1924,6,15,22,30,0,48N50,2E20
1886,2,27,15,20,40,48N50,2E20
1926,8,12,6,0,0,48N50,2E20
1886,3,29,3,50,40,48N50,2E20
1926,5,27,13,0,0,48N50,2E20
1886,4,9,5,50,40,48N50,2E20
1925,6,7,16,0,0,48N50,2E20
1886,4,17,5,20,40,48N50,2E20
1925,3,2,1,30,0,48N50,2E20
1929,4,22,7,10,0,48N50,2E20
1886,4,18,18,50,40,48N50,2E20
1923,8,7,0,0,0,48N50,2E20
1886,5,15,0,50,40,48N50,2E20
1923,7,13,14,0,0,48N50,2E20
1886,5,29,22,50,40,48N50,2E20
1925,4,25,16,0,0,48N50,2E20
1886,6,1,5,50,40,48N50,2E20
1930,9,13,16,45,0,48N50,2E20
1886,6,9,22,50,40,48N50,2E20
1924,10,19,21,30,0,48N50,2E20
1886,7,8,23,35,40,48N50,2E20
1927,11,23,13,55,0,48N50,2E20
1928,12,5,8,5,0,48N50,2E20
1886,7,16,9,50,40,48N50,2E20
1923,3,10,10,30,0,48N50,2E20
1928,7,4,18,0,0,48N50,2E20
1886,8,14,0,50,40,48N50,2E20
1925,5,18,6,0,0,48N50,2E20
1886,9,12,21,50,40,48N50,2E20
1924,4,8,15,0,0,48N50,2E20
1886,10,27,15,50,40,48N50,2E20
1927,12,24,10,30,0,48N50,2E20
1886,11,19,12,20,40,48N50,2E20
1924,1,23,1,0,0,48N50,2E20
1886,12,30,5,50,40,48N50,2E20
1928,2,18,9,15,0,48N50,2E20
1887,1,17,1,50,40,48N50,2E20
1929,2,28,7,0,0,48N50,2E20
1887,2,28,1,50,40,48N50,2E20
1926,9,21,6,30,0,48N50,2E20
1887,3,4,9,50,40,48N50,2E20
1924,12,19,7,0,0,48N50,2E20
1887,3,11,10,50,40,48N50,2E20
1924,7,30,3,0,0,48N50,2E20
1887,3,18,17,50,40,48N50,2E20
1923,2,2,12,15,0,48N50,2E20
1928,2,8,13,0,0,48N50,2E20
1887,3,28,18,50,40,48N50,2E20
1923,8,7,19,15,0,48N50,2E20
1887,4,3,9,50,40,48N50,2E20
1923,10,13,1,0,0,48N50,2E20
1887,4,6,6,50,40,48N50,2E20
1925,11,20,0,20,0,48N50,2E20
1887,4,9,15,50,40,48N50,2E20
1930,2,4,7,0,0,48N50,2E20
1887,4,21,0,50,40,48N50,2E20
1923,3,19,9,0,0,48N50,2E20
1887,4,21,0,50,40,48N50,2E20
1924,5,9,14,0,0,48N50,2E20
1887,5,2,23,35,40,48N50,2E20
1928,4,9,14,20,0,48N50,2E20
1887,5,10,12,50,40,48N50,2E20
1927,11,12,8,0,0,48N50,2E20
1887,7,9,14,50,40,48N50,2E20
1923,8,15,13,0,0,48N50,2E20
1887,7,12,0,50,40,48N50,2E20
1930,9,18,3,0,0,48N50,2E20
1887,7,12,5,50,40,48N50,2E20
1928,6,6,21,0,0,48N50,2E20
1887,7,14,16,50,40,48N50,2E20
1925,4,27,15,0,0,48N50,2E20
1929,3,3,12,0,0,48N50,2E20
1887,7,16,3,50,40,48N50,2E20
1925,3,3,13,0,0,48N50,2E20
1887,7,16,16,50,40,48N50,2E20
1923,2,20,6,45,0,48N50,2E20
1924,4,9,1,30,0,48N50,2E20
1925,9,23,2,0,0,48N50,2E20
1929,7,2,0,0,0,48N50,2E20
